MouseID,alphaketoglutarate,hydroxyisobutyrate,hydroxymethylglutarate,phosphoglycerate,hypoxanthine,succinate,hydroxybutyrateBHBA,glucosephosphate,dihydroxyacetonephosphateDHAP,fumarate,isoleucine,leucine,malate,methylmalonateMMA,phosphoenolpyruvatePEP,lactate,valine,glucose,malonate,pyruvate,Nacetylleucine,Nacetylvaline,citrate,tigloylglycine,isocitrate,methylsuccinate,ethylmalonate,carnitine,methyloxovalerate,methyloxopentanoate,alphahydroxyisocaproate,isovalerateC,acetylcarnitineC,methyloxobutyrate,butyrylcarnitineC,isobutyrylcarnitineC,methylcrotonylglycine,propionylglycineC,butyrylglycineC,methylbutyrylglycineC,propionylcarnitineC,hydroxyethylpropionate,Nacetylisoleucine,alphahydroxyisovalerate,aconitatecisortrans,isovalerylcarnitineC,valerylcarnitineC,isovalerylglycine,methylbutyrylcarnitineC,malonylcarnitine,hydroxymethylvalerate,betahydroxyisovaleroylcarnitine,tiglylcarnitineC,deoxycarnitine,succinylcarnitineCDC,hydroxyglutarate,methylglutaconate,hydroxybutyratehydroxyisobutyrate,dihydroxymethylbutyrate,isocaproylcarnitine,Group,Tx,Ex,avg_dVO2,avg_VO2
VR11,0.8499780772108405,-0.25392023798185953,-0.5223474817249458,1.0729675830808711,-0.02973855986586185,0.23574160194226956,-1.533844449859628,0.9581429432698476,1.4627733799247293,1.2000190631718013,-0.6530325014958807,-0.424890328148107,1.3288539088680948,1.632817024094798,0.8425801656313243,0.7107873256718167,-0.45380608338345485,0.5357627031805499,0.5840164250583659,1.5510086654358162,-0.5945772820118851,-0.16872607705410558,-0.008407521606558999,-0.5382811388867594,-0.5375574453919401,0.11730371934094194,-0.18799864291726986,1.0373462074575175,-0.5893279059151965,-0.4168468482558846,0.7904885637894972,0.1402300765752439,-0.058037526749184595,-1.1717944425740423,-0.41534886486708794,-0.2757266388788748,-0.660746082428192,0.007916572718996318,-0.4718596340637091,0.03218491127150272,0.8382777156839878,-1.4011867666530826,-0.3757610980102818,0.5550770483255774,0.1402800429707977,-0.10856968979180082,-0.10032156133891082,-0.08601726587480049,0.6748437113477977,-0.6745201082277443,-0.18785738579391303,0.35417895290332496,0.6260257596688654,0.011705105608390914,-0.3144724729614742,0.44487816244232614,0.06197168691189464,-0.9538438663592597,-0.06774705156607194,-0.17962607049875037,VR,V,R,0.2929801827571987,0.1777442018510276
HR40,-0.5785403375840132,-1.053252933801276,-0.46206314447996133,0.5722226970022576,0.41217978548032813,0.2559630273703628,-0.2594235987369836,0.4867216736638852,0.41438081434301366,0.4381670360030512,-0.7054069819070449,-0.45887939866713834,0.640667149818355,-0.6131443304084384,1.0696827518634038,1.1480116918331529,-0.7400896544469017,0.8388788359934938,-0.25749315228063585,0.8417534782631064,-0.02675056949733745,-0.5858600149135362,-1.083962004934517,-0.7092597232640983,0.5395953206494177,-0.5169405462878365,-0.6092268912697331,1.0525398385548694,0.19358826835553855,0.5197221375269726,-0.953123757195507,-0.41647193291953766,0.8760492774778927,-0.048081956276341487,0.1734171128760318,-0.4160496479104615,-0.7164069363700436,-1.2680449387422916,-0.6013707396719848,-0.2822721770651281,0.4287244907056258,-0.39145747045756113,-0.5243932577045554,-1.8680133836874535,-0.8534506819843781,-0.5079022172437826,-0.8774285588946469,-0.5566499913562943,0.22039446477608282,1.021517428104489,-1.9043504565894895,0.8004372558064874,-0.14242778070954065,-0.03750843645857582,0.6242066057540762,-0.5735199340793158,-1.0832675039308577,-0.553774257885848,-2.523746454450364,0.11840260651186862,HR,H,R,1.6220662152415404,-0.5855474568344625
VR42,0.9954685507468455,1.530328751482948,-0.10946783732387627,0.18574973349030138,0.38064073196778647,-0.6249349580857765,0.8821521651429389,-0.8397896172883247,0.022870394385824708,-0.10204742681950688,0.4043167125122682,0.11200786112495341,0.060331656285366325,-0.29547890311667296,-0.003215500168214605,-0.7116170643465692,0.2539650716648698,-1.097889992573236,-0.5694997600339424,-0.06618194394638426,-0.49756735658190254,0.361721244640776,0.5310055523553199,-0.7183285204066496,-0.23227176723186613,-0.3442354634198608,-0.8277249833286896,0.4378584433698048,1.9410123615595696,1.9399059357057487,0.9951195862320832,0.9691388977700036,0.4345465094007099,1.9059327015033198,-0.09301814419558568,0.25747702967980407,0.4665675938098076,0.4838218884177026,-0.47845710614638204,-0.8607614160552155,-0.49847109953238794,-0.22338852814827537,0.017496731658051018,1.362382224708036,0.5704284319676536,1.5558667845365572,-0.2641984331861761,0.14535589627389542,-0.04834701895314965,-0.7277113569462125,-0.7605559057545801,-0.2609995133797422,0.9941302635016781,-0.5488188336313733,1.0918220869854212,-0.3285194730826136,0.18621596495173776,0.2134350041040328,-0.00027936687015656103,-0.2373957328060257,VR,V,R,-0.22313743265917296,-1.1601228928288307
HR52,0.3677873073924107,-0.17453417734239812,0.12825883008531702,-0.9208726299775044,0.48234674574280834,0.788102197651312,0.18185583245781922,0.4477457641882084,-0.245911342933951,-1.4008520189023088,0.4610807635877587,0.45428387253304603,-1.2637532277463928,0.7627869739529447,-0.7971345064381385,1.2538087477113444,0.36522608019874525,1.5562674428764838,-1.2430448273890817,0.795499862162585,0.7254619054201124,-0.34739474804665005,-0.134655257850955,0.4928901986368246,-0.5276485654383739,-0.23541350247246337,0.5045842449480742,0.40222645518574557,0.07800640558027533,-0.5437989605577151,1.1862319633226457,-0.6033065995721348,0.8287712418782307,0.37904168684892303,0.5597630987425852,0.21105847160961944,0.5220017575738669,-0.309463351949853,0.64616945421977,0.3992771046618049,0.950727869864964,0.7991655470477059,0.44854722748978193,1.3756016983809272,-0.2307263864874075,-0.700715437983988,0.09084204752033331,-0.13273143272941812,0.4132195083694148,-0.4370867081896484,0.4527276718667195,-0.3215268309401814,-0.38153764882793584,0.36139668304899486,-0.9746246105020552,0.59423564926572,-0.2823694887474903,0.6902778122697276,-0.7205153997836231,-0.5416401396776919,HR,H,R,0.4969401136694143,0.19634890556978662
VR60,1.0116209682865884,-0.0786257711569196,-0.4352033856076014,0.4462758699191907,0.5444942084213026,0.23529537810934395,-1.0755666661880263,0.5258888809444231,0.8300059908579935,-0.01498457993781692,-0.26457271521086756,-0.6073141564919421,0.19009261029830402,0.3334273104332703,0.44032394263293373,0.1652107758314133,-0.16243590826312795,1.009068860456087,-0.3645990185722704,0.26170428981801164,0.22814177529908256,-0.564208773208395,0.957240870539118,0.1706951290252917,0.26934305870882014,-0.252136269523896,0.12578264640523834,-1.0618821858633565,0.052857301376483895,-0.5422129341164261,0.958087958231886,0.2157594113741602,0.1928247105737024,0.6003697651413046,0.6295905784981093,0.6788887692417706,-0.3790348126646734,-0.1916997278130129,0.21662980080080443,-0.26927731781438,0.9208098678473232,-1.202126867520126,-0.04058715029548152,1.0001973485493576,0.9515903371000791,-0.33650168449334056,1.1255913912856572,-0.32509726069908884,0.6331576871615862,-0.7546924252138285,0.4776454970917081,0.418815193702338,0.47334714751005447,0.5281744324803004,0.1510933883384457,0.7522081103141998,-0.5016398756616792,-0.19321278608412887,-0.0022197973891018574,0.8579779950522397,VR,V,R,0.5957298147766455,0.2254180902085388
HR70,-0.5195441969016787,-0.47590388750579227,-0.4757449314612072,0.9007470800081789,0.3023724762205706,0.2880648403355799,-0.18034954944977655,1.1820430461815725,1.3314848934277281,0.4837530322236858,0.22776399453463858,0.1873993212370766,0.34207996238792576,0.715634935110663,1.2054046988363858,0.12674480822878847,-0.22027365499510848,-0.23418455492391216,-0.21581318637836044,0.1547775068619267,0.62076698966969,0.7090898215596716,-0.515993103634731,-0.16820459814681277,0.8895081017622581,-0.14230754357789388,-0.7771165002368867,-0.0650138182432008,-0.0025155431147722007,0.1727268281346761,-0.9925193048403763,0.10206569855361725,-0.02661255737346513,0.22792472473975245,-0.2094702737164439,-0.34986927880670193,-0.07994157035009697,0.08506884020079397,-0.2389507900895783,0.014882881889519806,0.3669914779627637,0.8275271211955034,0.48786537166913124,-0.02459761187964348,0.054365364622136925,-0.5067889006139199,0.47131943061646636,0.19953983422578747,0.21746785460552664,0.7907377478903627,1.0363013548704845,0.27234570294937166,0.4945793107996376,0.07318908255033008,1.227755926110355,-0.17204106565994293,-0.33560624217069546,0.35960181529067814,0.912915791371533,0.18536695453230723,HR,H,R,1.4509046875776934,0.9398312767736176
VR72,-0.357207708307578,2.6133614379909837,0.4812916904371939,0.0756876805274374,-0.31522582672949656,-1.4502644167752108,1.725244983075548,-0.48421783336272506,0.44090630928986607,-0.5203342548128718,1.2220041549749359,1.208914619933415,-0.33031907213220113,-0.9222578753682187,-0.27714138131061344,-1.7795740513974345,1.358661391414124,-1.8278950393637337,0.6609442001660663,-0.6007290006240588,-0.4510369314366099,1.3330227214140455,0.257774216801532,0.31990246848934784,-0.6874572010070771,-0.7605311086321473,-0.48410412486462856,-1.5658614679603868,0.8796549375457247,1.1170949511171584,0.12959041278791478,0.6418954512561816,-0.6544720757360755,1.202078249321428,-1.3442226862764246,0.48383419188820787,1.0702425024278255,0.5336623270992874,-0.7183983583558258,-0.1425610117777852,-1.5666654101995687,1.5772834396626954,0.5768147973535731,-0.10104227197207293,0.3060079866198887,0.9863851798373575,-0.3576607754469151,0.5073247481516849,-0.6431652185866308,-0.20625293872885309,1.123459565676834,-1.366302692967173,0.10110334344539629,-0.9748034492024219,-0.1822293693160246,-0.5771402452080482,0.8290867036619126,1.0414339761982565,1.0591491147583838,-0.3790267498167922,VR,V,R,0.5828976871357429,1.0790384851810852
HR81,0.3333328277474178,0.23906103749471874,-0.47661530793023715,-0.5851476369053085,-2.6818564766644037,-0.9703399738899614,0.8677560359081724,-1.7397314771853514,-0.9891340528680777,-1.490847438867399,-1.3976682884293052,-1.4778691336149046,-1.535018337200541,-1.0743757324360743,-0.9893202761372711,-1.438060915233342,-1.0491723179258803,-1.0726374478313967,0.9483485471452369,-0.7142203659603846,-1.924172709625708,-1.1515088408484713,0.06337330888419701,-0.28248337641329047,-1.2225030519289009,-1.1350598085220078,-0.3469143284289066,-0.5343799191354908,-0.9825710296461267,-1.0132358490711146,0.13325565572084547,-0.46216037092490136,-0.6474788947197428,-0.07905231357232195,-0.8455777739906745,-1.5751520061112227,-0.6168130108955636,-0.37909443813370364,-0.869744366099406,-1.6657070880014069,-1.991919119529112,-0.4296737353960177,-1.501149299313255,-0.6583075099982717,-0.017189803127742764,-0.6595472882474376,-0.4021286134493395,-1.2972615790676818,-2.2824879727859493,-0.528051452413399,0.4275853209045066,-1.4124626344324311,-0.8315232951802911,-1.0640170115847183,-0.707405656095106,-0.7363447373013161,-0.0660987328817817,-1.5032269775042404,0.21948884750744535,-0.44641244728822194,HR,H,R,0.7612122461646884,0.8547304129272622
VR83,-0.9398063052901071,-0.1641033848195179,1.3860145161395985,0.7265559868439894,-0.07993897463193997,-0.5367057621498936,1.0423620786650318,0.8741590183483402,-0.12507004544139658,0.8210038745671321,0.01377910358752421,0.005839196891386428,0.8367747226204459,-0.5033449605789239,0.66324376511388,-0.5095943794985365,0.11626124705912447,-1.6857550753227064,0.61890958425296,-1.927714030139544,-0.8453600531770464,0.6041798909377091,0.17260776459318444,0.4842952595081457,0.009703511661714445,-0.0907743958971553,-0.326235940486443,-0.31564249067814604,0.23909552596613964,0.8887821911269486,-0.03699082791081341,0.13773445556431294,0.5867761579271127,0.2470108405220472,-0.3494134121866288,0.10508419427288793,0.037077231429818475,0.7043293374986601,-0.15895415817373987,-0.4824034258928631,-0.8827124738240827,-1.3069343053457156,-0.49404665497293687,0.2700266360393187,0.7035440474638408,1.5521307966125948,-0.1973635388363422,0.03361952341581889,-0.078678557507879,0.6875907899890037,0.09218349572583659,1.4861186131255841,1.7733763813985732,1.0796617370658235,1.9491473737546774,1.090745254716293,1.1571796448715113,0.33088823917500915,1.3565577810910783,-0.13611543285199304,VR,V,R,-0.5353428749948969,0.9961548137917006
HR92,0.8330576175822898,-1.057030495813924,0.4774412215029956,-0.6595345033470329,0.7291555199031486,1.1577300664300334,0.3532324337736775,0.2524738604484976,-0.4912204591256428,-0.24345324715816655,-0.6747891339341648,-0.7333614108244575,-0.3782876199525391,-1.1154602102844609,-0.2793393394369914,1.266286850436356,-0.5691054777782638,1.3355488369999275,-0.08955432909021716,0.1383295475798974,0.11291645232545613,-1.0483467327618539,0.7210997751621218,0.7711471260334772,-0.8065897106260822,0.24869328181299172,0.5347031423887901,0.9086738569616489,-1.564854879441567,-1.5572685386374647,-0.3065316442608748,-0.36706608980032207,0.9215633390813557,-1.2419952350295518,1.0159128620489384,-0.4286333170951942,0.2170954405518294,0.37726234790258395,0.5153134388891605,0.14737993458665755,1.106158771601931,0.07046772127122594,-0.4220886134704047,0.14250550439508397,0.5333538155539004,-0.5721931198853605,1.3636724478028184,-0.6111858173390852,0.8847440207337095,-0.5893370215890255,0.8457503618535204,-0.04898677847733779,-0.38774718273326264,0.1687471967188677,-0.7205255012762778,0.6621894337855542,0.043776135967456,0.16746540896895146,1.5040130361633721,0.5871139042232726,HR,H,R,0.5560032642730051,-0.4992685421007687
