MouseID,alphaketoglutarate,hydroxyisobutyrate,hydroxymethylglutarate,phosphoglycerate,hypoxanthine,succinate,hydroxybutyrateBHBA,dihydroxyacetonephosphateDHAP,fumarate,isoleucine,leucine,malate,lactate,valine,glucose,malonate,pyruvate,Nacetylleucine,citrate,methylsuccinate,ethylmalonate,carnitine,methyloxovalerate,methyloxopentanoate,alphahydroxyisocaproate,acetylcarnitineC,methyloxobutyrate,butyrylcarnitineC,isobutyrylcarnitineC,butyrylglycineC,propionylcarnitineC,Nacetylisoleucine,alphahydroxyisovalerate,aconitatecisortrans,isovalerylcarnitineC,isovalerylglycine,methylbutyrylcarnitineC,malonylcarnitine,hydroxymethylvalerate,betahydroxyisovaleroylcarnitine,tiglylcarnitineC,deoxycarnitine,succinylcarnitineCDC,hydroxyglutarate,methylglutaconate,hydroxybutyratehydroxyisobutyrate,dihydroxymethylbutyrate,Group,Tx,Ex,avg_dVO2,max_dVO2,AUC,max_VO2,avg_VO2,glucosephosphate_ser,carnitine_ser
VS100,-0.28749081336005117,-0.5517100399467733,-1.2099963034519972,1.864438581835287,-0.42876849270704975,0.3782646841179464,-0.8760129942553576,-3.5989385151066204,1.4903986137278453,-1.2661660553818244,-0.10763760170429179,2.064859017486184,-1.8634895771659121,1.6700597350356114,0.002970476011678601,0.37250906544292284,-2.1715758352703127,-0.9111078956399811,-0.13682747588370128,1.877864894009773,-0.9868248919277137,2.7300502977827623,-0.28431237170161877,-0.7223233244924023,-0.49285967146138976,0.20418830117559,-1.0785657774688246,-3.3313822395917434,-1.4090703370331248,-0.5002822006010565,0.8867826880152733,-0.547016427817998,-2.728637749824082,0.4005946615932511,-1.849704693241251,-0.35632554593792265,-2.2838575425912064,2.7022707861848994,-1.3652857182901905,0.8510576026615863,-1.2364198491356673,0.5955115354289083,2.5957707450341814,2.158468349840627,-0.6597792982642611,-1.6824220704464021,1.4294612894832508,VS,V,S,-0.8180407067782393,-0.9046236969508615,-0.8450675916499173,-0.9304326410419806,-0.7945080992891931,1.4677545244812966,0.2584357542841251
HR40,-0.6040479233314486,0.6801669952126782,-0.5457496701579074,-0.015442197281233664,1.1471249690671472,-0.20090098388576313,0.892882995113193,0.37671484686401063,0.2936517350365981,0.5137499583638724,0.0969339654512807,0.2318618943697397,-0.1763156805599467,-0.0757942759303388,-1.0660422401366703,1.2474877721437545,-0.5787491314672523,0.4503522104916482,0.7359217936520743,-0.7198494435203605,0.4595268365876799,-0.7915375584295633,-1.0795007336288307,-0.7459418657220948,-1.2009870769491213,0.8810489580712756,-0.7335469958761117,0.8664865772634978,0.5940834511026185,0.1288561512122279,0.4861252895192793,0.7397724596802543,-1.7072867617296783,1.2368734408160298,0.9500060309741172,-0.11162174099898724,0.7976094953223675,-0.28746726148720353,-0.9969843776414828,-0.24818714603065029,0.8165309347298859,-1.8194144789648095,-0.37539337543059526,-1.1440070491856233,0.14430888738085332,-0.39056032245345373,1.1970576082688038,HR,H,R,1.6220662152415404,2.1544677616681502,1.5712518109365412,0.18673269180465363,-0.5855474568344625,-0.7882143088579812,0.6498189360212657
HS41,-0.047370557509816384,-0.2417381295349694,-0.8051633149470497,0.8421755807827312,1.1096829211282204,-0.43775280541137823,-0.6616093805742755,-0.6480579868912019,1.527040218591559,0.6349240738519725,0.9409116028272707,1.2410439057306162,0.11364229978412459,0.22436001734890051,0.2643092363346594,1.0302358295749143,0.9736561338187824,-0.9925639393730515,-0.3225593004582787,1.2558254727195208,1.4996965537115665,0.354211473100563,-1.0795007336288307,-0.7459418657220948,0.9862690227111656,1.9770255987926695,-0.7335469958761117,0.6620013637581382,0.5755941240576821,-1.1177435968820342,0.8246350125481495,-0.9536000001079206,1.5927351710207083,-0.10808556895860677,0.25444383104765755,-0.8489814447452674,0.5315693667233884,1.2443369312825934,0.8038108412661957,0.9774984743596162,0.7615767488166746,1.3611425261420163,0.6275756742735149,1.224428139934908,0.502537900518195,-1.1367964485647555,-1.730706527266413,HS,H,S,-0.5507380940081344,-0.7206176649949724,-0.8450675916499173,-0.7137325773965568,-0.5377090642663962,1.2278896556032148,1.3603207821751078
HR70,0.01880130531241781,1.1567723304920485,-0.3098110836514959,0.7152622123333666,0.6288176626917112,-0.18124710813732534,0.6152315551329401,1.3518895091121153,-0.8637514468231116,-0.026311053042952826,-0.2999844207259738,-1.5242983448396807,-1.0116603015365697,0.17576669336326278,-1.3799724496542176,-0.8724818042403701,-0.10768392273962554,1.2571348391247228,0.5994394301511422,-2.6595563626802656,-0.3064215828379333,-1.539572571885929,2.1264106146585946,1.61471003834194,-0.22720583736793737,-0.0889940885318416,2.0832218733605674,-0.1462393447336655,1.2767759724988248,0.5506022039022639,0.6237745793519649,1.8102575995948547,0.5843518751889677,1.7373975226805105,0.9452729042466614,1.7969077200753307,1.046939121168348,-0.6672882044946646,0.5617798403174759,-0.5519577270612535,0.5343957619698188,0.11904928651800911,-0.9326435561794137,-0.1933673991814189,0.022210818400416624,0.6918397735167365,-0.4651286050120747,HR,H,R,1.4509046875776934,1.6061474794772792,1.4609180393209047,1.019088773932635,0.9398312767736176,0.3656930276848291,-0.3228786998837926
HS71,0.43648604267673113,-1.2208698446716728,-0.34894264660702407,-2.0972695218227635,-0.5878268939228589,-0.23207425300868975,0.6640995665311958,0.0699142799167175,-0.6615680309702061,-1.250803636695146,-1.1554598758215218,-0.8050333819112365,0.6488460631424627,-1.3420545947757545,0.7489765413493872,0.9518869889730744,-0.930835003820843,-1.2221629385447483,0.8989313440450412,0.3357294891982756,-0.07555189041047446,-0.5651717391473658,-1.0795007336288307,-0.7459418657220948,-1.2009870769491213,-0.2459988761541904,0.1742073259211341,0.05110868378229689,-0.6514841081486877,-0.037315795942955865,0.14461057318956178,-0.9536000001079206,-0.5701740109927358,0.7111490635810777,-0.9449079634252611,0.2950371075295483,-0.5971098911181522,-0.9619771111993645,-1.6362820334024122,-1.337777756719389,-1.25944875480437,-0.5524116452781695,-1.0013125129279308,-0.5614030126675539,0.1779131344466051,-1.150213088698189,-1.730706527266413,HS,H,S,-0.5507380940081344,-0.7206176649949724,-0.8450675916499173,0.20695050870716283,0.5533405833244142,0.3852670739540829,-2.718578430879606
HR92,-0.6263822475622097,0.5928624358457156,1.1768682063250449,0.07734267528437509,-0.037574722029035924,-0.23473125739856365,0.48761742625765464,0.47741010668140565,-0.07016062398476401,-1.1385227430271092,-1.4363697719942394,-0.6400070248668202,-0.581751270685205,-1.2126204375507104,-0.1554856453575445,-0.5545842072729771,-0.5603673936238797,-0.5230880596589951,0.02321675261124104,0.14255748463659695,0.8507341879312889,-0.774660095557143,-1.0795007336288307,-0.7459418657220948,-0.7790911589823899,0.6130228757817271,-0.7335469958761117,-0.44654077493274363,0.15632027290728626,-1.1177435968820342,0.22317496839762538,-0.9536000001079206,-0.6011416727234993,0.5471071897105332,0.03835460040535961,-0.3858352617702613,-0.17256940873360146,-0.06735336704083786,0.5278030460172515,-1.0769932108881775,0.01566459316927131,-0.8909137862566204,-0.36574539766153175,0.5093489480531906,-2.451372097992663,-0.14236548577918876,0.08110270951146818,HR,H,R,0.5560032642730051,1.0956423898706755,0.8181923594030629,0.2205857796718948,-0.4992685421007687,-0.12739072201546187,0.7886839832835696
HS93,1.3855550561989518,-0.510351243441189,0.37298104288988126,-0.7442706291763033,-1.5216294770787704,0.23258814624525584,-1.0840110096063438,0.6023058876133263,-1.7400510902079878,-1.5042389599851467,-1.3610491968435168,-1.4379252153775852,0.8697616809100918,-1.4609603032279892,1.0859194657965234,0.6168974059192639,1.208287623755764,-0.9463679210588096,1.1986673568702633,0.21688994693205663,-0.8471223561655857,-0.22619200246137158,2.755813465362236,2.963549136440442,1.6638416967691334,-0.9200297254243031,1.6861135523224595,0.266453877009905,-1.145865727579398,-0.17902530664686037,-0.6571428149463701,0.39848498130512167,0.25309676945647325,0.9019750449077214,-0.46778430575605295,0.4053949622839998,-1.0819197984689115,-1.7163332360196812,0.9834231451642185,-1.001890724300349,-1.2813483176496985,-1.0081135228748057,-1.4967861779984688,-0.36462473335595835,-1.0404567502381248,-0.8682096660083212,-0.03277999752197604,HS,H,S,-0.5507380940081344,-0.7206176649949724,-0.8450675916499173,-0.5911494709907231,-0.3924427320579161,0.6283010439494517,1.195007262854299
HR52,-0.11538663442339607,1.3010596882302508,-0.4294740423080642,-0.04094275154089504,0.32359225093082444,0.19699443723851037,0.5105905003786573,0.3872110698127862,0.713281457853504,1.1178539345591163,1.0541764454522178,0.12484067635338193,0.12568766896804534,1.1520254983175837,-0.1471235776041812,0.03969544891003351,-0.6004688752865183,0.11646724958285302,-0.6901726213231006,0.33787983016681716,0.5367909038741403,0.15438327012704248,-1.0795007336288307,-0.7459418657220948,-1.2009870769491213,0.8553454654957722,-0.7335469958761117,0.5454307705626438,1.2587073817237204,-0.8048982954005643,1.0875741728892108,-0.9536000001079206,1.5195840409935581,-1.036118011413708,0.9862839951181519,-0.38071323368926985,1.2226507180213846,0.6690681179529784,0.3794653106187298,0.5625990918331629,1.4056559864013944,0.2592602540784209,-0.15149884784073017,0.7675708326801558,0.10386555201010732,-0.27104280741217485,1.0492261584034097,HR,H,R,0.4969401136694143,0.9341400079823183,0.2841334319405152,0.5424587902485708,0.19634890556978662,-0.11398775000212004,0.2247886615087429
HS53,0.33031315338829087,0.1691969897045719,-1.1311520991586625,1.0732622400405054,-1.2834830865939912,0.34266331746417916,0.16253100901794335,0.24368284370015206,0.5862812012339044,-0.3808863334254411,-0.28685486717642306,0.4092105226237574,0.7974376089787447,-1.3327518837579557,0.7198539730075311,0.38731331848964967,0.9237533116101305,-0.8370278684751477,-0.09077860602120244,-1.0541643724637266,-1.8762987936799873,-0.23037999301324605,0.5405618959381239,0.8171387800008092,1.1923260644327551,-1.1407692823200795,0.3002291654751119,0.30899736798500443,-1.0430861137987741,-1.1177435968820342,-1.5713364634336628,-0.9536000001079206,-0.4935865213337773,-0.9010070215396044,-1.479545189749949,-2.600812602691956,-0.5109173758321964,-0.3801654507915928,-1.6362820334024122,-1.3716946178940053,-1.6162342586757719,-1.0614759871172872,-0.6019227631223218,-1.2435040186427255,-2.451372097992663,1.1429603401705397,0.0686202877964198,HS,H,S,-0.5507380940081344,-0.7206176649949724,-0.8450675916499173,-1.3046839003829909,-1.2380121787900367,0.45889302591575215,0.5323220307019337
HR81,0.8934945871486902,-1.2208698446716728,-0.9270666928179859,-0.5137788787541617,-0.5519816728102068,4.066933643797931,1.6089485442253197,1.3930564227593079,-0.16162715918814619,-0.7791653425833205,-1.0357510659370175,-0.08670998678248318,-0.8095788529148985,-0.5359981482840955,-1.3744895098490553,-1.1072802422104477,-0.3981287609606514,-0.5405303823234424,-1.834266959670306,0.5067576634944088,0.4880485886170148,-0.5926370284435643,1.3009238913029044,1.2898642184296976,-0.30313878358521396,-1.2683931108214421,1.326009504849708,0.894820503606802,0.7796095268319109,0.30798335728154064,0.27337830784986306,-0.9536000001079206,-0.7607343211689276,-2.138132636234516,0.7288936475661941,-0.006839391992491342,0.40296028113463395,-0.5477562125195146,1.0822891235019947,-0.3537663171232774,0.35260614601182155,0.08067409983202252,-0.9267736693092347,0.3148432778098856,0.6935665855609916,0.04703734805016564,-1.730706527266413,HR,H,R,0.7612122461646884,1.2209052129573832,0.7324961467545994,0.8471365810537413,0.8547304129272622,-2.192804059996582,-0.6774943985794342
