MouseID,alphaketoglutarate,hydroxyisobutyrate,hydroxymethylglutarate,phosphoglycerate,hypoxanthine,succinate,hydroxybutyrateBHBA,glucosephosphate,dihydroxyacetonephosphateDHAP,fumarate,isoleucine,leucine,malate,methylmalonateMMA,phosphoenolpyruvatePEP,lactate,valine,glucose,malonate,pyruvate,Nacetylleucine,Nacetylvaline,citrate,tigloylglycine,isocitrate,methylsuccinate,ethylmalonate,carnitine,methyloxovalerate,methyloxopentanoate,alphahydroxyisocaproate,isovalerateC,acetylcarnitineC,methyloxobutyrate,butyrylcarnitineC,isobutyrylcarnitineC,methylcrotonylglycine,propionylglycineC,butyrylglycineC,methylbutyrylglycineC,propionylcarnitineC,hydroxyethylpropionate,Nacetylisoleucine,alphahydroxyisovalerate,aconitatecisortrans,isovalerylcarnitineC,valerylcarnitineC,isovalerylglycine,methylbutyrylcarnitineC,malonylcarnitine,hydroxymethylvalerate,betahydroxyisovaleroylcarnitine,tiglylcarnitineC,deoxycarnitine,succinylcarnitineCDC,hydroxyglutarate,methylglutaconate,hydroxybutyratehydroxyisobutyrate,dihydroxymethylbutyrate,isocaproylcarnitine,Group,Tx,Ex,avg_dVO2,max_dVO2,AUC,max_VO2,avg_VO2,hydroxybutyratehydroxyisobutyrate_mus,glucose_mus
VR11,1.183489187464132,-0.009660884779594973,-0.2079002939649718,1.0591609495523728,0.02335467156215627,0.23633703810039222,-1.2600880341431273,0.680032876919758,1.5198123228909453,1.2667072216235535,-0.47779659209438685,-0.297281860226628,1.4127546965245728,1.463357274462415,0.7489029212576247,0.6950775530703707,-0.22017946237083919,0.4547931493696608,0.8377165961325154,1.7548118086889495,-0.46855161702299164,0.10703560844150423,0.45108940559303623,-0.25833272219346076,-0.2573548649657215,0.34251994568669725,0.038395403071166,0.9494980813871818,-0.44021836296162187,-0.24094687668099293,0.8401337705892178,0.36985735134007647,0.04335529401204949,-0.9296597968804595,-0.15541647060496783,0.03286366400804005,-0.2176236353005109,0.33689383991199745,-0.18480898342637714,0.2424209755655271,0.9011782318181842,-1.2373181355210303,-0.11756028036004484,0.5757686720955427,0.5806068528550906,0.237412421851671,0.24597319825332925,0.22161978189159787,0.827706818730434,-0.9092494011912393,-0.14587466138503294,0.5397123386499777,0.8496162486211888,0.18569390952339834,-0.3393765294335069,0.7272199208968508,0.4378868582817958,-0.6751257012273224,0.14991966700713444,0.18562429777402964,VR,V,R,0.2929801827571987,0.4488450456622829,0.4219975303957132,0.37265600084864897,0.1777442018510276,-0.6177654954431129,-0.9584662556819954
VS23,-1.6244941899738945,-1.6677800785732566,-2.147918926998033,2.133899627324966,-0.008501835061293561,-2.296331375952407,-1.8047668364063334,2.15933277854174,0.6164576134773011,-0.11381172369250181,-3.0234895480864026,-2.9575280686136214,0.2334257111842821,-0.9150360230129151,2.092507389617872,-0.5307272983844776,-3.059342963752922,-0.7581868344700071,0.3262956260946557,-2.0569189049857197,-2.52019972969351,-3.1331009198484003,-0.7209560780325066,-3.008677873863351,-1.6681742418332912,-1.7798608315543578,-1.755348170879416,0.1494064723834858,-1.377858250296515,-0.5655264600525823,-2.338646420054912,-1.7335681678813089,-0.9061784266033508,-1.2522722659569827,-1.4706373423517607,-1.4177612951497753,-1.6220775590182093,-2.2056092619112513,-2.124636124038129,-1.5727381581091373,-1.043466159228776,-1.2373181355210303,-2.766210849160786,-2.723278960287954,-1.6072835692206817,0.046740701909032706,-1.3852723511131166,-1.296365129607897,-0.8855413033587957,2.160080491165403,-3.038193811960219,-0.6233820342270747,0.5239817300872965,-1.3688539192755942,1.2150291295360844,-1.4642626353150527,-2.073684312771722,-3.0058973806209504,-1.1909742150694127,-1.4522314788443669,VS,V,S,-0.8180407067782393,-0.9046236969508615,-0.8450675916499173,-0.8262403600323782,-0.6710356979895314,-0.6878288708185912,0.5651365034913234
VR42,1.252783322242328,1.7187828620735706,0.13313849205568934,0.1750974624196035,0.42160390318712504,-0.6244755595402492,1.0933642279195444,-1.054360664469085,0.06687781160364738,-0.05059532304870648,0.5395169700125448,0.21046198380520353,0.12506386861772711,-0.38388746512308997,-0.07549056984142068,-0.7237376696964694,0.4342156802741807,-1.1603606617545916,-0.3737617484914464,0.09105887239827509,-0.40033441833119443,0.5744804388895729,0.8855225180283497,-0.5023391255788431,-0.016086276739333587,-0.17047375042858862,-0.6530545438125674,0.3700807298509743,2.056055269556714,2.075618538975488,1.0475495311355154,1.2311211351620528,0.5127743995769767,2.0927475304919705,0.10752823215461879,0.49556458008483406,0.8084511104955993,0.7376386511356993,-0.2569881046481159,-0.6985573899199496,-0.4499412861665706,-0.10242603378528407,0.21670713980055403,1.3783464918000548,0.9101550227329859,1.873060878058445,-1.3852723511131166,0.3827079790558938,0.06959188723914936,-0.9092494011912393,-0.7281648554839474,-0.1178544147893962,1.1666376667172285,-0.414580758959255,1.0726077897599264,-0.11068353650711998,0.47624686182131637,0.4284752194602664,0.16765765300692959,-1.4522314788443669,VR,V,R,-0.22313743265917296,0.34012636902098947,-0.08034717928972875,-0.5660955002906619,-1.1601228928288307,1.018384060092211,-0.8168679185951748
VS43,-0.030274207756274513,-0.5444433883133293,-1.0152590328754945,-0.8142347300956864,0.6651480902540475,0.8406177627274873,-0.6619841442943003,-0.21534279743446744,-0.41716818641154074,-0.890063442293214,1.422718276384252,1.5569604005080993,-0.8452514805009036,-1.0841544654345696,-0.5825244549024271,0.4684542549658357,1.1900984646819042,0.6841271390815234,-1.4523112939487877,0.48777993931236074,0.9649577272747889,0.36811761428259726,-1.8702512059389134,0.09579765815180499,-2.0053869402895166,-0.42866248045327077,-0.6214669314670395,0.5569063328219302,0.26988735960909366,-0.10511415593532611,0.35432254067298563,0.13488218299304156,-0.5307128584907125,0.35117794536844826,-0.333050714424564,-0.07822663437711895,-0.055127160137098424,-0.5587969892919408,0.0013189567411869899,0.21971359053159423,0.0075139104119723975,-0.9900407968044131,0.6997665721799465,0.3551899755914491,-1.5424650443790793,-0.3875055390673993,-0.11736442364713587,0.11496937002969791,0.3372744390641448,-0.9092494011912393,-1.3412953685177111,-1.7244151385277673,-0.5447887859490412,-1.1703271163338747,-0.24790430776200795,-1.1063568606823593,-0.42967670891365545,0.49558229022308126,0.37787975563805687,0.20555430941112815,VS,V,S,-0.8180407067782393,-0.9046236969508615,-0.8450675916499173,-1.3883090876740933,-1.3371116762183997,-0.7514193169962788,1.1527653916420884
VR60,1.2302854229104339,0.0815213322309781,-0.22903807145264968,0.4372236377809345,0.579304450531702,0.2356857720685749,-0.8960799999208521,0.34354777111555307,0.86740321383673,0.02873909027708634,-0.1496803971387952,-0.5236484698458722,0.24510163222108677,0.24758877795100648,0.37890504856345925,0.15491076257083278,-0.009260088631400033,0.9559816835049277,-0.19826210252838417,0.3953265344749487,0.3107697071915911,-0.3834073644659565,1.258507130937832,0.3542415416547196,0.45305611218568975,-0.10447467207686087,0.27421647386768805,-1.1194792553052353,0.15062003217244374,-0.42688522787131145,1.004507619965935,0.31346393232371217,0.2593022736080804,0.7591238174603236,0.800013612343159,0.8812140537929423,-0.08850437678453345,0.023992141221778118,0.4048327482929044,-0.13143736907563244,0.962050194280816,-1.0898856152002863,0.12870058627209752,1.0137636810877397,1.2402878310650693,-1.3236555295177295,1.2413293624213195,-0.12339697185161862,0.7333814187864331,-0.9092494011912393,0.5051712053942564,0.5404589871519653,0.6199428404952368,0.6422490937107348,0.13476520088393312,0.9373237023648144,-0.25517346598195134,-0.010472980126698004,0.14049201293237287,1.0431118621173159,VR,V,R,0.5957298147766455,0.2849792140453789,0.4677915205953937,0.22542193508150069,0.2254180902085388,0.4736373484747613,0.10606400762924088
VS61,0.23254901278678983,-0.2845372279404044,-0.673441912979212,-0.7458505430630706,0.5408152582487519,0.9573353792874636,-1.1429492171609001,0.9303538638025758,0.6297603296791614,0.7385101259294389,0.43523305816773833,0.7211200429077175,1.2003232833762671,1.4605223650737478,-0.48086844663715106,0.8151280386213374,0.35983784576125377,1.1655517635160004,-0.2545721379590942,0.8043086067281745,0.9406037356507335,-0.37066007652969196,-0.3099094857679091,-0.5165151779204684,-0.5186978857047256,-0.2884735672664347,-0.22775785458867864,1.5948115128817708,0.538726436690978,-0.07494055150296199,1.147029064041119,-1.7335681678813089,0.19988196810942344,0.24032330879258312,0.2925947788050621,0.05026488479126456,-1.2321985614365007,-1.1540641137538385,-0.4822674669539547,-0.4005615130606512,0.46416767145275567,-1.0661253525151022,0.44820644031016954,1.0794234192935246,-0.6830685447483652,-1.3236555295177295,0.9055181997532546,0.061703477769208204,0.2744845824803008,1.099134946302618,0.5255937587073082,-0.22519438090896618,-1.025478206767291,-0.17980399277050818,-0.10641056751564985,-0.750876626446226,-1.5742744201096048,-0.2115269087775759,-0.5974138508950166,0.17318028396812485,VS,V,S,-0.8180407067782393,-0.9046236969508615,-0.8450675916499173,-1.701248643970674,-1.70795871117321,-1.095685845852116,0.7485536469288387
VR72,0.09391079437624478,2.9437549700068697,0.9066236813495369,0.057012357118420905,-0.24341011106634253,-1.4494590095193858,2.0955372478949306,-0.8603989945176493,0.5180591289546899,-0.4301295771796494,1.459034222745699,1.3815221859446174,-0.21683200517110737,-1.0841544654345696,-0.4038524170698574,-1.8008236256262675,1.6746727272231445,-1.9374172194506412,1.0041077044303763,-0.3250579180121924,-0.2805703186561687,1.706027382529736,0.8793054324443046,0.6985702450185152,-0.3084456339440821,-0.4558959595001235,-0.17787581671240255,-1.6846878394906544,1.0813455909755287,1.355023252032612,0.1567503832386437,1.0957439496336374,-0.5173246882023926,1.5295978294943617,-0.9926292643676516,0.9012439605623791,1.6696250378462485,0.9786481990254471,-0.3301238579603701,0.1418114592395402,-1.48158402674896,1.7676870051894489,0.9260660296787907,-0.07305407593831932,0.9016090477530134,1.485267739777307,-1.3852723511131166,0.9234451114374825,-0.4363973658884741,-0.5227156395679343,1.180246830603446,-1.1153439074792644,0.4035394647305662,-0.7394602588473029,-0.21591544549466934,-0.19523515298371652,1.3375623856736152,1.418437672505735,1.3535725421886449,-1.4522314788443669,VR,V,R,0.5828976871357429,0.6166499596086271,0.6437682479090978,1.028223733076077,1.0790384851810852,2.6707338146046777,-2.7296576326042947
VS73,-1.680442846765295,-1.4126205724144936,-2.539714003483711,-0.3715685598109862,-2.7828577392540628,-2.1553085087648873,-0.985723434999496,-0.7572335022188194,-1.0878420729662723,-1.9933605031789308,-0.7247875023835947,-0.7529159858683446,-2.0004552246106813,-0.6729604177868796,-0.3183557924305639,-1.8130989652587246,-0.9606097075320971,-1.1801955284542855,-0.6874997424757685,-0.5375031204513274,-1.111303728547679,-0.5463162996865668,-1.5815963790747667,-1.845331208348381,-1.6670302515736999,-2.001054718997495,-1.6718870427238126,-0.301361529531055,-0.5247266304632685,-0.5510167681389571,-0.038415480386642865,-1.7335681678813089,-2.4429347993383304,-0.10459934961782999,-2.3146258668524715,-1.9035818712871873,-1.9572311498927766,-2.6692822031041645,-2.389394554110029,-2.4117315770873757,-2.0296927700616956,0.4245592189714676,-1.3549470746896395,-0.46623136221478906,-1.744216201704848,-0.6565680391532547,-1.3852723511131166,-1.449359250235077,-2.57706918737842,-0.03650110470159133,-0.3054829678902374,-1.9026869202074388,-2.4434150404179085,-2.1963353424979224,-1.7680594340213862,-2.9230288991944757,-2.21479393038568,-1.8771741688660115,-1.277643436196455,-1.3228420241522905,VS,V,S,-0.8180407067782393,-0.9046236969508615,-0.8450675916499173,0.19727819788795106,0.5418784727784831,-0.3529936158198619,0.6506287688441621
VR83,-0.8210805268078838,-0.07715011409195872,1.4979537769636095,0.7216409982169395,-0.06103844916326524,-0.5364937943346206,1.1398159342375214,0.77515531767378,-0.10476489607973394,0.8447440237984932,0.07616089274570881,0.05126621335088347,0.8666423522841831,-0.5234669604774689,0.6298958392954863,-0.5151868618013565,0.19942939828751483,-1.7145792224470866,0.7092236679096506,-1.8551626634954883,-0.8004964947391198,0.7023475974383151,0.33618291610921436,0.5839533898820791,0.10945212114151612,-0.010600239841541285,-0.24564249538860577,-0.34691532338223213,0.2921766558656703,0.9514003781023971,-0.053513471897822885,0.09851332576132628,0.622870732312487,0.3332077419855549,-0.2568807351250437,0.21493847743151756,0.19482327310808845,0.8214411246315693,-0.05676772146144262,-0.40756201992173924,-0.8603206778227606,-1.2373181355210303,-0.4021303974995668,0.27739259496729785,0.8602948772949757,1.7272332790303546,-1.3852723511131166,0.14313445968975383,-0.02426120567983385,0.6042327310681276,0.10712881983951755,1.5521661749009166,1.85297179530225,1.1415995722890993,1.9402818415396885,1.1912553847839085,1.2910007380587043,0.4301084154003067,1.434044406926866,-1.4522314788443669,VR,V,R,-0.5353428749948969,0.14238442809463805,-0.40339746748064725,1.1620240327418396,0.9961548137917006,0.8319511193857037,0.43876480732355116
VS84,-2.0441511638892216,0.41611270175828713,-0.508586484840025,-0.31201206472605286,-1.9410387971581888,-0.8629016609240073,1.0739624203186833,0.034286481126139176,-1.015637538934288,-1.652866962405791,-1.2503326555370413,-1.1126997759866333,-1.8270571601875993,-0.8212754089842131,-0.14038864017197583,-0.507183287296908,-1.2065293134909598,-1.1183196468030039,0.9260587839282508,-1.6167236375048324,-1.6758513485544928,-0.7832671137440096,-1.5187844193619318,-1.4372576970958606,-0.8261410840659398,-1.1286835994911426,-1.1665566766136228,-0.7859583882792025,-1.1064962015944309,-0.5181372346379479,0.18576679381949163,-1.7335681678813089,-0.5463715276649282,-1.1690250426994324,-1.0244697932691642,-2.216036908402964,-1.150633098136581,-0.992118791882987,-0.9447286361452659,-1.3734053302493208,-1.3577427622698632,-0.58253965253814,-1.526558822092553,-1.1398023204898693,-1.4641799855313593,0.4644438197620876,-1.3852723511131166,-2.0181111442902053,-1.8280057262619427,1.078286258261517,-0.5373446525649639,-1.4156589874945305,-0.19280487772003765,-1.6910396658714717,-0.23703223917046207,-0.6446798108801474,-0.185608596680924,-0.7279249136515314,-1.2954333513372653,-1.4522314788443669,VS,V,S,-0.8180407067782393,-0.9046236969508615,-0.8450675916499173,-0.9336433114207089,-0.7983128838433073,0.30996800610754865,1.241426638083674
