MouseID,alphaketoglutarate,hydroxyisobutyrate,hydroxymethylglutarate,phosphoglycerate,hypoxanthine,succinate,hydroxybutyrateBHBA,dihydroxyacetonephosphateDHAP,fumarate,isoleucine,leucine,malate,lactate,valine,glucose,malonate,pyruvate,Nacetylleucine,citrate,methylsuccinate,ethylmalonate,carnitine,methyloxovalerate,methyloxopentanoate,alphahydroxyisocaproate,acetylcarnitineC,methyloxobutyrate,butyrylcarnitineC,isobutyrylcarnitineC,butyrylglycineC,propionylcarnitineC,Nacetylisoleucine,alphahydroxyisovalerate,aconitatecisortrans,isovalerylcarnitineC,isovalerylglycine,methylbutyrylcarnitineC,malonylcarnitine,hydroxymethylvalerate,betahydroxyisovaleroylcarnitine,tiglylcarnitineC,deoxycarnitine,succinylcarnitineCDC,hydroxyglutarate,methylglutaconate,hydroxybutyratehydroxyisobutyrate,dihydroxymethylbutyrate,Group,Tx,Ex,avg_dVO2,avg_VO2
VR11,-0.1365524245024816,0.4355881742546265,0.011552257717425574,-0.008580451211825726,0.245311493666378,0.46582770962603454,0.10115950588059697,0.04095087889811677,-0.11484837890672389,0.5022884398571625,0.32023550037791226,-0.3785923763475764,-0.3484418123842536,0.5841575431060597,-0.4636008276861567,0.07176082643978501,-0.16605601155776864,0.7885894897309195,-0.15610083595773594,0.466537138289279,0.3971806699141285,-0.5267397545288808,0.24504552796852705,0.4453274438851927,0.03508176836795204,-0.42760397260301564,0.41849731719507144,-0.11303607183867084,0.40992735421093385,0.11510389635334521,-0.05648251166339102,0.20064336270887412,0.11445788280507971,-0.023316188103767482,0.5964821547370718,0.059096493373804126,0.384805252658216,-0.02270416045652357,0.2621194586503861,0.12492899956424855,0.46989702308052855,-0.28467812368942186,-0.09892975014023969,-0.2143248324182646,0.7280256468064159,0.4560345550143727,0.18848455347531012,VR,V,R,0.2929801827571987,0.1777442018510276
HR40,-0.23431813120829487,1.224505168790007,0.2225215497540214,-0.4142890104278647,1.166297264615666,0.7726782471717608,0.8685474063858917,1.2475920289018811,0.9256757735952035,0.2252422717204231,-0.1849092697447472,0.22694329669679347,-1.111328335424896,0.15040732471164497,-1.3593085223880907,0.32798333594013646,-0.8904828336662164,0.332838808309435,-0.3279979847537903,-0.04059558857296369,0.021518244045792,-1.1476008803087372,0.17908051584197074,0.20493247500677153,0.5857929513576232,-0.39095364454676856,-0.049809670810689766,-0.10706672953301544,1.0113157164935083,-0.3223070423585631,0.7834696954249554,-0.31642452325061354,-0.27813870989651196,-0.17682136628804002,0.9216928767592585,0.21756066728666384,0.851419083545707,0.08850630043401189,-1.0775654967966735,-0.6003618485542807,0.5480475438879453,-0.5099702926676912,-0.9213652287126728,0.6321070407788933,0.8259247301065878,0.11074108903205304,-0.36994815269155823,HR,H,R,1.6220662152415404,-0.5855474568344625
VR60,-0.1904469715030296,0.6755450505231282,0.09040065111576408,-0.07817689972375355,0.46440812715053004,0.6349220534003176,0.2565132532898309,0.23201047409470943,-0.022989043024968264,0.6354675826971987,0.3674708911166462,-0.4283786458546782,-0.5886264227168398,0.7399862400748718,-0.750250940019838,0.0784035140574949,-0.33740668924294903,0.9986426613780539,-0.16904315039884688,0.5202457743757158,0.4912107425288002,-0.7492625823340842,0.30566440331027755,0.5469387832805976,0.09545481511597628,-0.558047139188299,0.4774171611589614,-0.2000969685900218,0.6244778609821311,0.16968201304217764,0.07703583543563589,0.24266387723345853,0.07853755513606278,0.002204799623905157,0.8351901950496892,0.14344598493713892,0.5565259181812698,0.036925238942593974,0.21131509642261853,0.10886302035006576,0.6245978157019345,-0.3577595692958348,-0.20079778583783012,-0.17993557926983839,0.9686222092787762,0.5977599480396567,0.18092955300354116,VR,V,R,0.5957298147766455,0.2254180902085388
HR70,-0.18398038099355168,0.982662783332752,0.7665648092894759,-0.46151004975643584,1.1540359795487005,0.46478695650638135,0.9223508645037811,1.1216310940171579,0.4820859232717887,0.47911555122066574,0.15081786355532062,-0.10886552890684312,-1.2734852420580227,0.6810972818507068,-1.3911918101844256,-0.38704355372732535,-0.9758938138877344,0.7854085300995575,0.47500905905297625,-0.20358073774399377,0.39090304767662326,-0.6533189082205515,0.10848205870142605,0.2080706914513843,0.11811948033104899,-0.4274390642963048,-0.03123443265369802,-0.7845593079296768,0.9213769498538092,0.7935171181542492,1.0427877687584328,0.45507651733522875,-0.41177082265441106,0.5516606760888525,0.9479508751276682,0.7469997087770679,0.5818271267066453,0.7226128621997263,-0.0974380851743778,0.145175883420335,0.49688639353076564,0.14240125793013741,-0.18693962235320633,0.237329111014135,0.8048108764844917,0.7962319016543217,-0.10366605914306683,HR,H,R,1.4509046875776934,0.9398312767736176
VR83,0.023047240689697546,-0.28583601477546483,0.15561129734220308,0.12892175003391976,-0.2859186606269389,-0.12657612672880236,-0.23731623984874822,-0.49275636743947215,-0.6055715170474623,0.33911016057986676,0.41253221571632426,-0.46484132338505324,0.12658641851115698,0.5360383464507787,0.20212840603530827,-0.3811707717802193,0.19133953866275188,0.5631002048577083,0.36566653972026,0.23852733630480383,0.39819078592202684,0.3073105861470923,0.05698766895090676,0.20435066330790247,-0.39509640242945265,-0.13808980302699533,0.28900736527601323,-0.31903318192528557,-0.1579151419664611,0.6666744726603907,-0.2171435623363751,0.5717681262984943,0.1186417473717854,0.36095465732162596,0.04191677786865544,0.1810788572063114,-0.19046655973004994,0.2223468259514204,0.9826564513658873,0.6190357673725218,0.06882360242141125,0.28877337750798837,0.5934888162009574,-0.537833878266457,0.13999033745417067,0.5362487488524224,0.36930641127034525,VR,V,R,-0.5353428749948969,0.9961548137917006
HR92,-0.04128806820502183,0.3621681742666511,0.04124555695556545,-0.18339428196571483,0.41307152273211784,0.14249446862514792,0.34469366439315086,0.571881908660645,0.5380913540686489,-0.18982531418597093,-0.2918995456715785,0.34266641520206204,-0.31435425996953015,-0.2969978560080388,-0.3816891110513906,0.1881415504939432,-0.3169551559732223,-0.31327627739563,-0.15215229478440065,-0.25143112518760885,-0.24040679754252067,-0.30371011362410694,-0.04032243541970655,-0.1429493010450329,0.30222278164901056,0.05032435104955735,-0.24878740467963567,0.08051888699822704,0.2609597665208236,-0.3267539846222479,0.36813051226324456,-0.3341885430923486,-0.17685698557184734,-0.14505650870291809,0.10753182639455067,0.015031979041860433,0.21850087627883644,-0.012127997202091123,-0.7429033355079743,-0.4232150417562812,0.009247530422746897,-0.15258751760007977,-0.45184756239264934,0.4495623382635582,-0.0024673460716042594,-0.26296361132837265,-0.30044790920796055,HR,H,R,0.5560032642730051,-0.4992685421007687
VR42,-0.060757774775826376,0.11246999479237596,-0.5993474969267258,0.18014095468853947,-0.21854136848782485,0.34940967493412467,-0.27833331044825094,-0.27023568275924187,0.045594260991850655,0.008792174662190733,-0.05367429526163642,0.0008996112246026922,0.3022015343669936,-0.18239636668630477,0.18206532486420077,0.6362024886527828,0.27361475489828646,-0.03198291349371141,-0.7781389874751364,0.48233126003439586,-0.10516422071986986,-0.44566815223921563,0.1711108837962472,0.2230610323837116,0.28310629701460166,-0.11599696332463316,0.2760516214479397,0.6236482035388528,0.0187841272476284,-0.9061633708247355,-0.5551197748829987,-0.5147435887275359,0.3003062363679135,-0.6682009095706452,0.05904034770777672,-0.5518769840229745,0.23170515214562593,-0.6649496325372759,-0.4214220370246915,-0.44383374981062007,0.17678379249872322,-0.6547327373828344,-0.4731575597296283,0.03087939684904767,0.2248470290797292,-0.40533161978010357,-0.01073063358214077,VR,V,R,-0.22313743265917296,-1.1601228928288307
HR52,-0.021751666198616473,0.26713804039451694,0.2931574263369664,-0.20912748177320398,0.4210089680759356,0.013103305328035997,0.3787021223908158,0.5264597922191546,0.34231825134627836,-0.06633145049780365,-0.13653327265282716,0.18710580683116504,-0.4027953812263268,-0.04640461814753555,-0.4138367934726891,-0.13614471398588385,-0.3663027451889097,-0.09481520929481141,0.21169769057826932,-0.32213248833350694,-0.0668720118716617,-0.09297180016222834,-0.06864478741923108,-0.13526080638162374,0.09357239340774125,0.025715575508925503,-0.23672046021669088,-0.23249892095045194,0.23334342084631532,0.1833091602496952,0.4941177810597617,0.01874243959772707,-0.2397538685865498,0.18732237876358176,0.13416985310891225,0.26065112487900305,0.1066634374604627,0.27949719413176216,-0.3009563452607449,-0.08565457863087929,-0.004448984942745704,0.1391514311650075,-0.12462206899702638,0.2724123545014785,0.0027753994580412833,0.05705579001435196,-0.1799941574724794,HR,H,R,0.4969401136694143,0.19634890556978662
VR72,-0.1772113868276461,0.6068476318477246,0.4115048488197432,-0.12294301161487972,0.5166388453435755,0.5107397745348183,0.327996688028722,0.21402160992817576,-0.24276260154221077,0.8112587383398356,0.5652403664606398,-0.6268799428985853,-0.7426736748392642,1.0744561437501379,-0.8450019850522458,-0.31392897980099305,-0.43061908684709543,1.304652176047452,0.2700876769867229,0.444869182925799,0.7201311375200796,-0.5367272161461303,0.2830716135227875,0.5760261785561926,-0.14607087311391265,-0.6132780451204572,0.5035192360987482,-0.5969691995597988,0.6326689645334626,0.7994158750369198,0.2559194738645083,0.6792267517128514,-0.004791228696256755,0.4106134173632478,0.9139327748240647,0.45798147958521684,0.4541612374570649,0.40249761332657635,0.7378803122741135,0.5154759041463426,0.638049231854362,-0.017850363285534465,0.1765889620855282,-0.3882772559921013,1.0217620094280047,1.013758536304017,0.3256694564185645,VR,V,R,0.5828976871357429,1.0790384851810852
HR81,-0.06090264467311296,0.43441045575085935,0.5958533345716777,-0.3042735001844763,0.6566029215619898,0.07635951591582663,0.5705848215316363,0.6861074711849724,0.2668913160692765,0.18070491941780778,0.04869895401624939,-0.0009585485546148714,-0.7308332606772131,0.3354741500348883,-0.7411122104424245,-0.4129460161713807,-0.5883007718054872,0.31553820832817414,0.5165409033778077,-0.32794220490088183,0.18309161700397292,-0.14081141801419628,-0.0301635533846219,-0.02249224702266861,-0.025980567128214588,-0.1319462249332426,-0.1646738015308899,-0.5972299087419288,0.4330853224658148,0.6865455564374401,0.7436897440367087,0.3713912652192671,-0.33227179847707167,0.5047702952736214,0.40659229337549935,0.5635821698738288,0.1880190711676641,0.5968832630885318,0.032704874854543986,0.19292681574238707,0.14501292173588307,0.318140081847709,0.05537379524312808,0.15330393888219457,0.2584489425078732,0.4849606398552984,-0.08248778623238462,HR,H,R,0.7612122461646884,0.8547304129272622
